term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
ARR3,55.55555555555556,0.027476309752621476,1.0,-2.7566246495042357,9.908497396354981,['Agrobacterium'],1
BAX,20.833333333333332,0.06511187079023516,1.0,-2.3194836438168225,6.336013783026315,['Agrobacterium'],1
ARG2,23.80952380952381,0.05773241559871995,1.0,-1.9161467789059519,5.464728876312718,['Agrobacterium'],1
ALAD,16.666666666666668,0.07965532519576542,1.0,-1.3746125952493011,3.477833630702263,['Agrobacterium'],1
BCL2L1,14.492753623188406,0.09037768576579473,1.0,-1.3105469686051305,3.150237604110473,['Agrobacterium'],1
NOG,41.666666666666664,0.03515283763209673,1.0,-0.9252664928637268,3.0978384210712537,['Agrobacterium'],1
NIN,22.22222222222222,0.06143120886439355,1.0,-0.8873271690231903,2.4754984203737656,['Agrobacterium'],1
MAFF,22.22222222222222,0.06143120886439355,1.0,-0.8790128384570107,2.45230279095818,['Agrobacterium'],1
OASL,55.55555555555556,0.027476309752621476,1.0,-0.6518145836214267,2.3429026167493063,['Selenomonas'],1
NPB,25.641025641025642,0.05401538370759888,1.0,-0.8027344878326389,2.342769677134173,['Agrobacterium'],1
SUB1,17.54385964912281,0.07604613039253699,1.0,-0.8558222618046714,2.204953435872014,['Agrobacterium'],1
PGR,41.666666666666664,0.03515283763209673,1.0,-0.6315698629152703,2.114527438332064,['Agrobacterium'],1
MX1,18.51851851851852,0.07241922609589523,1.0,-0.7536909347923169,1.9786523458407186,['Agrobacterium'],1
NPY,19.607843137254903,0.06877450792733338,1.0,-0.7391379155301456,1.9786146409990915,['Agrobacterium'],1
NPR1,25.641025641025642,0.05401538370759888,1.0,-0.6754557052262066,1.9713082824232107,['Agrobacterium'],1
STX2,10.75268817204301,0.11821679104612247,1.0,-0.8142353449783035,1.7385839109521606,['Agrobacterium'],1
ADH4,55.55555555555556,0.027476309752621476,1.0,-0.44734062810479264,1.6079350700347603,['Agrobacterium'],1
AOX1,9.523809523809524,0.1317369506355255,1.0,-0.7450365329698476,1.5101504168778264,['Selenomonas'],1
NLRC4,12.345679012345679,0.1044324424578876,1.0,-0.6549599486925545,1.4796952751823509,['Agrobacterium'],1
MKKS,41.666666666666664,0.03515283763209673,1.0,-0.43946413845795806,1.4713478800950646,['Agrobacterium'],1
NOD1,6.666666666666667,0.18018606868718345,1.0,-0.8520099753309031,1.460145085886307,['Selenomonas'],1
TP53,13.333333333333334,0.09743926045435285,1.0,-0.6012650686257349,1.4000613841509075,['Agrobacterium'],1
POLI,15.873015873015873,0.08324691417057004,1.0,-0.551026173111075,1.3698203289177877,['Agrobacterium'],1
AARS,7.751937984496124,0.15800875312770274,1.0,-0.7292899649027879,1.3456164498014107,['Agrobacterium'],1
NOD2,5.649717514124294,0.20763788675085865,1.0,-0.7401760956077287,1.1635269528897325,['Selenomonas'],1
CYS1,33.333333333333336,0.042753772264707966,1.0,-0.33298383475055787,1.0496642254972437,['Agrobacterium'],1
TLR9,5.376344086021505,0.21653242527758768,1.0,-0.6846189636625343,1.0474772648055004,['Agrobacterium'],1
LOX,5.46448087431694,0.21358151162505332,1.0,-0.6740942380206081,1.0406240358629535,['Agrobacterium'],1
TERT,17.54385964912281,0.07604613039253699,1.0,-0.39960656881859324,1.0295524155396236,['Agrobacterium'],1
SYK,8.771929824561404,0.14170734358385983,1.0,-0.524341835560322,1.0245593895040876,['Agrobacterium'],1
CYP2D6,25.641025641025642,0.05401538370759888,1.0,-0.34594581636088817,1.0096381565590464,['Agrobacterium'],1
CYP3A4,15.151515151515152,0.08682100027520798,1.0,-0.40419853821212337,0.987823535037544,['Agrobacterium'],1
MTOR,9.523809523809524,0.1317369506355255,1.0,-0.4483920619340234,0.9088674572174008,['Agrobacterium'],1
VIM,7.246376811594203,0.16760400794004998,1.0,-0.4722965422682395,0.843593025100005,['Agrobacterium'],1
TBP,5.05050505050505,0.2281985733417291,1.0,-0.5130053849233397,0.7579855113298639,['Agrobacterium'],1
MYC,4.566210045662101,0.24809666381684564,1.0,-0.5425861497392924,0.7563308204474108,['Agrobacterium'],1
COL18A1,33.333333333333336,0.042753772264707966,1.0,-0.23185532880022233,0.730877053881026,['Agrobacterium'],1
MYD88,3.5842293906810037,0.3015197846109092,1.0,-0.5104498685600423,0.611988374881598,['Selenomonas'],1
CYP2E1,18.51851851851852,0.07241922609589523,1.0,-0.21800987681662604,0.5723377239485149,['Agrobacterium'],1
SPO11,33.333333333333336,0.042753772264707966,1.0,-0.18034222052462742,0.5684923935519035,['Agrobacterium'],1
SDHA,7.246376811594203,0.16760400794004998,1.0,-0.30314566405216475,0.5414639847997732,['Agrobacterium'],1
CYP1A2,22.22222222222222,0.06143120886439355,1.0,-0.17564308631910416,0.49001563111289304,['Agrobacterium'],1
TLR4,2.347417840375587,0.4136723530048036,1.0,-0.5193991344722056,0.45846376629836894,['Selenomonas'],1
CHIA,7.407407407407407,0.16442084927073058,1.0,-0.24130265687378824,0.43562995646719377,['Agrobacterium'],1
CLPB,4.444444444444445,0.2536637228602013,1.0,-0.31022495584854176,0.4255497848549621,['Agrobacterium'],1
CYP2B6,66.66666666666667,0.023609416352013458,1.0,-0.1020789398118118,0.382398901344051,['Agrobacterium'],1
CYP1A1,14.492753623188406,0.09037768576579473,1.0,-0.11371038569469297,0.2733322357569452,['Agrobacterium'],1
TNF,1.7006802721088434,0.5124138797045206,1.0,-0.40147786833956123,0.26843718488000917,['Agrobacterium'],1
CLPS,17.54385964912281,0.07604613039253699,1.0,-0.10331995809344333,0.2661951047077178,['Agrobacterium'],1
ACE,2.7777777777777777,0.3663372248459383,1.0,-0.2022520752389385,0.20310173427140324,['Agrobacterium'],1
CYP2A6,47.61904761904762,0.03132407905131092,1.0,-0.055924425283170306,0.19368687492275855,['Agrobacterium'],1
COMT,30.303030303030305,0.046526171191819975,1.0,-0.04874344701174896,0.14953223692379913,['Agrobacterium'],1
CR1,9.25925925925926,0.1350764239023574,1.0,-0.042643935455582045,0.0853695151878174,['Agrobacterium'],1
RAD51C,66.66666666666667,0.023609416352013458,1.0,-0.021306742203062033,0.07981739254632285,['Agrobacterium'],1
CIPC,33.333333333333336,0.042753772264707966,1.0,0.01834225697403052,-0.057820257175367,['Agrobacterium'],1
CASP3,3.115264797507788,0.3361126587542901,1.0,0.07024789682104368,-0.07659190579703719,['Agrobacterium'],1
SACS,11.11111111111111,0.11479571167088135,1.0,0.11432088523070481,-0.24745911970543816,['Selenomonas'],1
SRC,4.975124378109452,0.23108111835234707,1.0,0.16961970959962214,-0.24849057933818292,['Agrobacterium'],1
COPA,6.410256410256411,0.1863879498923604,1.0,0.16402082327350015,-0.2755426856908295,['Agrobacterium'],1
RPS3,23.80952380952381,0.05773241559871995,1.0,0.11432830211485455,-0.32605705409664504,['Agrobacterium'],1
SDHB,15.151515151515152,0.08682100027520798,1.0,0.160894618784202,-0.39321144455133855,['Agrobacterium'],1
CFB,4.219409282700422,0.2646441271957267,1.0,0.33325317618071326,-0.44301653213058495,['Selenomonas'],1
SP7,11.494252873563218,0.11135802511441203,1.0,0.20327089978709137,-0.4461806041477045,['Agrobacterium'],1
SCO1,41.666666666666664,0.03515283763209673,1.0,0.1555039150346705,-0.5206348725872976,['Agrobacterium'],1
SST,30.303030303030305,0.046526171191819975,1.0,0.19028656037242755,-0.5837497504467871,['Agrobacterium'],1
CD86,5.05050505050505,0.2281985733417291,1.0,0.4073580853383386,-0.6018874960848136,['Agrobacterium'],1
INF2,7.092198581560283,0.17077202313346815,1.0,0.36053539175121396,-0.6372195568098553,['Agrobacterium'],1
REG3A,27.77777777777778,0.050280005163513074,1.0,0.21664551597928774,-0.6478021113745569,['Agrobacterium'],1
IL10,3.003003003003003,0.34560085652324735,1.0,0.6800178130408854,-0.7224990451439655,['Agrobacterium'],1
RAG1,9.523809523809524,0.1317369506355255,1.0,0.36062984275052906,-0.7309779900287616,['Agrobacterium'],1
SBDS,16.666666666666668,0.07965532519576542,1.0,0.31088648660565477,-0.7865572323320121,['Agrobacterium'],1
IL13,8.547008547008547,0.144998974097888,1.0,0.4296485741302034,-0.829663689653141,['Agrobacterium'],1
SLPI,8.547008547008547,0.144998974097888,1.0,0.4298810750890334,-0.8301126556569064,['Selenomonas'],1
CD80,6.5359477124183005,0.18329436795283563,1.0,0.4997447303775393,-0.8478978189961432,['Agrobacterium'],1
RAD52,27.77777777777778,0.050280005163513074,1.0,0.29836910375140807,-0.8921677169518485,['Agrobacterium'],1
FES,3.663003663003663,0.29639569092283385,1.0,0.7343948277958634,-0.8930681182646616,['Agrobacterium'],1
GAPDH,3.5842293906810037,0.3015197846109092,1.0,0.7559911262179734,-0.9063726121904679,['Agrobacterium'],1
RAG2,15.873015873015873,0.08324691417057004,1.0,0.3726891108443898,-0.9264843401513536,['Agrobacterium'],1
ATM,10.416666666666666,0.12162135942035424,1.0,0.44535235373903853,-0.938287342820532,['Agrobacterium'],1
SKP1,23.80952380952381,0.05773241559871995,1.0,0.3357137143900782,-0.9574341847909688,['Agrobacterium'],1
GPD1,41.666666666666664,0.03515283763209673,1.0,0.30429396314438845,-1.0187913834544968,['Agrobacterium'],1
GP2,8.771929824561404,0.14170734358385983,1.0,0.5242248784850576,-1.0243308563955231,['Agrobacterium'],1
HRC,19.607843137254903,0.06877450792733338,1.0,0.39198781163926305,-1.0493208464977026,['Agrobacterium'],1
SOD1,17.54385964912281,0.07604613039253699,1.0,0.41982790881898296,-1.081650982148273,['Agrobacterium'],1
CFP,30.303030303030305,0.046526171191819975,1.0,0.35297271626922366,-1.0828286276939825,['Agrobacterium'],1
IL18,5.46448087431694,0.21358151162505332,1.0,0.7306902831695691,-1.1279934296286263,['Agrobacterium'],1
REL,7.936507936507937,0.15477964000451544,1.0,0.6330300627958714,-1.1810776444271007,['Agrobacterium'],1
CARS,25.641025641025642,0.05401538370759888,1.0,0.46526083690527376,-1.3578574200825861,['Agrobacterium'],1
RPS5,66.66666666666667,0.023609416352013458,1.0,0.3680845809702278,-1.3788852002596266,['Agrobacterium'],1
HOPX,55.55555555555556,0.027476309752621476,1.0,0.38412899177189735,-1.3807251979411934,['Agrobacterium'],1
CCNB1,22.22222222222222,0.06143120886439355,1.0,0.5052774154623381,-1.4096417730615738,['Agrobacterium'],1
IGFBP3,30.303030303030305,0.046526171191819975,1.0,0.46529418667262346,-1.4274017293858325,['Agrobacterium'],1
CBS,4.830917874396135,0.236805949435617,1.0,1.0013571256209446,-1.4424692107807822,['Agrobacterium'],1
CEACAM5,12.345679012345679,0.1044324424578876,1.0,0.6526796242847358,-1.4745435323027019,['Agrobacterium'],1
CD34,8.333333333333334,0.14827484009724282,1.0,0.8558366756130362,-1.6335249356760342,['Agrobacterium'],1
EPCAM,22.22222222222222,0.06143120886439355,1.0,0.5939505319319174,-1.657025339589475,['Agrobacterium'],1
ERBB2,13.333333333333334,0.09743926045435285,1.0,0.7333607698044744,-1.707649667394101,['Agrobacterium'],1
DEFB4A,7.751937984496124,0.15800875312770274,1.0,0.956749591292092,-1.765303309164585,['Agrobacterium'],1
CD44,7.751937984496124,0.15800875312770274,1.0,1.0264665895783145,-1.893938480686824,['Agrobacterium'],1
IPP,10.92896174863388,0.03062486517417285,1.0,0.5608412100059436,-1.955060497199989,"['Selenomonas', 'Agrobacterium']",2
RAD51,13.88888888888889,0.09391707220262357,1.0,0.8268784214638005,-1.9558511660190365,['Agrobacterium'],1
EPO,22.22222222222222,0.06143120886439355,1.0,0.7114794036580279,-1.9849117680266657,['Agrobacterium'],1
GH2,8.547008547008547,0.144998974097888,1.0,1.0500194886066903,-2.027617675419372,['Agrobacterium'],1
RACK1,27.77777777777778,0.050280005163513074,1.0,0.7086377554147947,-2.118931620081713,['Agrobacterium'],1
AGL,12.345679012345679,0.1044324424578876,1.0,0.9515087131752459,-2.149662662565577,['Agrobacterium'],1
GLS,10.1010101010101,0.12500951232529925,1.0,1.0352708243355455,-2.1527063793471033,['Agrobacterium'],1
ID1,37.03703703703704,0.03896269809551992,1.0,0.6951776076004823,-2.2559559954025343,['Agrobacterium'],1
ADK,14.492753623188406,0.09037768576579473,1.0,0.9565963739822689,-2.299426072826728,['Agrobacterium'],1
GBA,47.61904761904762,0.03132407905131092,1.0,0.6727595542907328,-2.330014032065759,['Agrobacterium'],1
DHFR,14.492753623188406,0.09037768576579473,1.0,0.9898315748774222,-2.379315448902668,['Agrobacterium'],1
EIF4E,66.66666666666667,0.023609416352013458,1.0,0.6496024305376074,-2.433481932766532,['Agrobacterium'],1
FGF21,41.666666666666664,0.03515283763209673,1.0,0.7630030956536092,-2.5545724646274155,['Agrobacterium'],1
DSE,20.833333333333332,0.06511187079023516,1.0,0.9787882297817421,-2.673705301217812,['Agrobacterium'],1
FTO,41.666666666666664,0.03515283763209673,1.0,0.8347899013818617,-2.7949182748627712,['Agrobacterium'],1
FGF7,37.03703703703704,0.03896269809551992,1.0,0.8870728352010386,-2.8786848987238858,['Agrobacterium'],1
AGPS,9.00900900900901,0.13839985743226102,1.0,1.4952592181916158,-2.9570369895780795,['Agrobacterium'],1
GHR,41.666666666666664,0.03515283763209673,1.0,0.8938810714236155,-2.9927584628661643,['Agrobacterium'],1
DGAT2,37.03703703703704,0.03896269809551992,1.0,0.9615518128792397,-3.120380394072969,['Agrobacterium'],1
DGAT1,37.03703703703704,0.03896269809551992,1.0,1.00481946091748,-3.2607904258859204,['Agrobacterium'],1
DST,66.66666666666667,0.023609416352013458,1.0,0.8927359457908167,-3.3442867401454786,['Agrobacterium'],1
BAK1,20.833333333333332,0.06511187079023516,1.0,1.2462262458014381,-3.40425192961207,['Agrobacterium'],1
